Protein	14F	14F	17F	23M	25M	28M	36M	37M	39M	43M	44M	45F	45M	47M	48M	49F	50F	52F	59M	66M
O43399	45851900.0	41936400.0	37791900.0	34696900.0	81431900.0	67523900.0	40958400.0	74232400.0	43963800.0	41345000.0	71034300.0	37863000.0	34674600.0	53107500.0	25175800.0	36516300.0	48240000.0	66219200.0	55688900.0	66540300.0
O43402	14547200.0	21389000.0	24148500.0	16935700.0	26393100.0	51712700.0	51654100.0	25840000.0	10436600.0	14078700.0	51230200.0	15462100.0	28388200.0	53554800.0	16122500.0	15131200.0	8926750.0	36613300.0	26509400.0	115933000.0
O43405																		14358500.0		
O43414	12731700.0	9871370.0	8235890.0	10636400.0	10651600.0	12887600.0	12597200.0	59499400.0	10092200.0	9437640.0	7678680.0	41508900.0	6373570.0	17013000.0	14072400.0	10095400.0	10949300.0	13101400.0	9610050.0	6698430.0
O43422	864473.0	737215.0	391106.0	652185.0		189011.0		47711.5	10435400.0	11425800.0	1672180.0	4904960.0	3412880.0	92764800.0	5594060.0	3082420.0	2817370.0	2517500.0	3648190.0	
O43426	2871990.0	1645260.0	3952610.0	5936630.0	10578200.0	9197990.0	23069100.0	341363000.0	5262880.0	7232150.0	9176130.0	3839240.0	3598470.0	6137440.0	4034290.0	1028190.0	2576190.0	1690440.0	43319100.0	2165920.0
O43427	4244540.0	2003200.0	4514580.0	6989130.0	9723480.0	2578130.0	4706360.0	4716880.0	6682180.0	6993090.0	48012.4	11863200.0	5598410.0	8738860.0	8062950.0	4351420.0	2668240.0	5268630.0	6012480.0	5360880.0
O43432	10825600.0	4256540.0	24806900.0	11095400.0	10713400.0	185637000.0	13619900.0	29379500.0	3234100.0	18540000.0	68315800.0	39512500.0	46084900.0	22291900.0	9293970.0	3106730.0	9965310.0	16035500.0	66482800.0	11436000.0
O43439				19444.5		452291.0							342708.0							
O43447	14869000.0	91354100.0	7532990.0	9932150.0	92701200.0	88650100.0	19518700.0	15806100.0	19109600.0	25949000.0	69641400.0	25392600.0	20290800.0	84345000.0	18496000.0	19263600.0	23259900.0	10871800.0	105859000.0	69067600.0
O43451	306048.0			24007700.0	878298.0		5977320.0							881636.0	248213.0	636314.0		22776600.0		1067680.0
O43462	35934800.0	4851120.0	19896300.0	10300500.0	15435100.0	15777800.0	13016900.0	18665300.0	749797.0	21419900.0	22789000.0	10698600.0	14119600.0	22508800.0	15868700.0	20755400.0	13251500.0	8585080.0	11522200.0	17182800.0
O43464	42711100.0	20770100.0	26875000.0	24693400.0	45041500.0	28275800.0	25648500.0	31753100.0	27516800.0	27206400.0	19133500.0	19304400.0	41559200.0	23871300.0	21312900.0	30867500.0	18518200.0	41894400.0	22533000.0	28155700.0
O43488	188017000.0	235235000.0	252447000.0	165853000.0	214313000.0	203031000.0	209420000.0	137982000.0	185607000.0	243715000.0	202947000.0	263471000.0	195769000.0	379629000.0	175251000.0	231984000.0	215636000.0	306673000.0	304716000.0	218110000.0
O43490										1276430.0										
O43491	246283000.0	752359000.0	41089400.0	495778000.0	348165000.0	47475900.0	602488000.0	1065370000.0	147407000.0	224031000.0	724149000.0	503671000.0	247085000.0	848317000.0	126943000.0	562942000.0	467518000.0	725987000.0	51546900.0	564735000.0
O43493	52812900.0	379182000.0	223455000.0	169826000.0	195305000.0	363859000.0	51123600.0	41270000.0	42070500.0	29112000.0	258646000.0	31587600.0	32959400.0	300986000.0	31830300.0	26042400.0	43082600.0	212516000.0	325629000.0	283027000.0
O43504	45262700.0	45154400.0	43784900.0	41281100.0	40731700.0	73861500.0	83177200.0	131215000.0	103185000.0	145936000.0	47157700.0	119996000.0	103076000.0	53395600.0	111799000.0	32709400.0	27881700.0	58746900.0	51661800.0	51851900.0
O43505	5329840.0	1553250.0	18817400.0	18173000.0	15487400.0	154665000.0	10592200.0	3633840.0	12543100.0	3472400.0	14035600.0	2904850.0	2270200.0	138168000.0	4343350.0	2108410.0	1120440.0	31133400.0	23402800.0	23520500.0
O43513				15334.7		686894000.0						247811000.0	401602000.0	2126110.0		145648000.0	277798000.0		1825090.0	3678.94
O43516	394437.0	299398.0	4714360.0	1459770.0	6107880.0	21075300.0	294074.0	5781560.0	9509490.0	3120.19	1234600.0	30683300.0		12116200.0	562901.0	56727.7	10571100.0	5306040.0	13026400.0	5903950.0
O43520	7984200.0	43762.9	2838870.0	5844460.0	2938840.0	523618.0	5384640.0	2996800.0	1291240.0	1251740.0	668091.0	1694840.0	4196510.0	3410860.0	5120100.0	10629300.0	794274.0	1623790.0	379966.0	7287620.0
O43521	2458700.0		1179060.0	3198660.0		201389.0	1351240.0				1508630.0	289142.0	255199.0	11362.2	4037660.0	3543550.0	479118.0		790696.0	
O43524		16552.9			286082.0	10620.2		2864.99			18842.3		2371.33	19580.2			1420.59	2980.86	15054.1	1882.82
O43556	1980400.0	4725910.0	1353320.0	2420410.0	4202780.0	2754160.0	2723170.0	724648.0	4999580.0	2927230.0	32672600.0	1808000.0	536571.0	8501760.0	1817250.0	663506.0	1272500.0	22667500.0	805560.0	2641260.0
O43566	21816.5			13092.3		2793060.0	283820.0	92526800.0	223385.0		2147730.0	3585900.0	22269.2	1352750.0	4141.54	291069.0	858682.0	634656.0	8892260.0	4696450.0
O43567	39384800.0	5663660.0	957391.0	3480570.0	1844170.0	4521150.0	419309.0	143168000.0	126123000.0	1968840.0	8236060.0	2557070.0	1156680.0	7345810.0	3574840.0	394824.0	3143480.0	13409700.0	5506420.0	4759820.0
O43572	29566.2	10810.4	594879.0			11037500.0	2341070.0	304523.0	859079.0	1070190.0	12058900.0	12362.1	255831.0	19477.6	690134.0	304629.0	75904.0	9095340.0	1919490.0	488266.0
O43581	22878100.0	5075370.0	6504630.0	2258770.0		4522140.0	612811.0				4739210.0	2416400.0	1234880.0	412193.0	1622670.0	1744180.0	1973260.0		2842200.0	
O43583	51599400.0	40532900.0	19443100.0	29443600.0	29814700.0	39641900.0	113136000.0	109819000.0	70763100.0	40391900.0	48939500.0	97757200.0	82165300.0	50553800.0	61804000.0	20117800.0	84804400.0	47402900.0	48467100.0	53964000.0
O43586						14722000.0		3547460.0					16442.1	3870050.0		2121020.0		8090790.0		
O43592	620175000.0	22232700.0	32509100.0	1229550000.0	30024400.0	2404620000.0	785318000.0	44085600.0	574188000.0	1000910000.0	41534200.0	1020120000.0	855720000.0	3170360000.0	533310000.0	882156000.0	755001000.0	39250200.0	4100930000.0	4231100000.0
O43593													1182490.0							
O43598	98799600.0	84077800.0	120222000.0	73100700.0	77417300.0	82167100.0	151943000.0	140410000.0	97177400.0	178683000.0	139575000.0	90611900.0	162803000.0	140028000.0	85383300.0	190900000.0	143204000.0	137685000.0	113401000.0	127463000.0
O43615	170919000.0	34515300.0	168299000.0	255797000.0	283772000.0	325080000.0	173875000.0	85266900.0	164043000.0	47941900.0	153703000.0	47896900.0	55294300.0	352666000.0	144473000.0	45887300.0	44867000.0	228076000.0	368731000.0	80934000.0
O43617	18330500.0	26169900.0	31217100.0	21916200.0	18577200.0	36578700.0	15429800.0	19709000.0	12267500.0	14985000.0	33552600.0	17052100.0	13682200.0	23765800.0	12459700.0	21786000.0	17251700.0	21262800.0	27834700.0	17685200.0
O43633	35496000.0	35024700.0	25960300.0	75722100.0	30807600.0	38783300.0	44298500.0	33396400.0	41902100.0	49136400.0	33430700.0	33871100.0	45456100.0	37346000.0	35930500.0	46101100.0	39726600.0	24169300.0	48267200.0	27481100.0
O43639	31261300.0	50675100.0	2277420.0	40610900.0	45095800.0	5870430.0	91788500.0	3964960.0	1024810.0	106004000.0	39931700.0	149227000.0	9988900.0	24910800.0	1792650.0	1707130.0	9424160.0	70878100.0	49956500.0	1486760.0
O43657	25925400.0	34540300.0	28879600.0	39596500.0	19777900.0	36211500.0	27174400.0	11288100.0	47739700.0	20362300.0	32938600.0	13423000.0	16008500.0	30449700.0	19606500.0	16881800.0	18073400.0	22235600.0	28493200.0	33715500.0
O43660	24449300.0	21522000.0	19718600.0	13202100.0	14515200.0	33416800.0	12538700.0	20713500.0	27678200.0	14913900.0	17009000.0	19152100.0	25178200.0	21703700.0	21038300.0	15455000.0	12077600.0	22540400.0	119147000.0	18767600.0
O43665	11152900.0	9160740.0	6416310.0	9698780.0	3364780.0	4818740.0	5438340.0	3525540.0	5383320.0	4305630.0	300407.0	5462660.0	9596150.0	15667300.0	6741970.0	9621500.0	13781200.0	11449700.0	4873910.0	10268800.0
O43670	25945000.0	37184200.0	25217400.0	23774500.0	20643200.0	34442100.0	13855400.0	23997700.0	57935800.0	17354600.0	25468800.0	27269500.0	17969200.0	31359500.0	38821700.0	43771600.0	17399800.0	28906200.0	28616400.0	22678400.0
O43674	80704000.0	88212500.0	78884000.0	92518000.0	71899000.0	83856100.0	45325800.0	52137600.0	52881100.0	50839100.0	64548000.0	47531800.0	52493500.0	66810500.0	72477300.0	44549500.0	43164100.0	65262700.0	76604000.0	98069500.0
O43676	65223800.0	88694300.0	99369300.0	117781000.0	105838000.0	137836000.0	56376400.0	69455400.0	63388500.0	65482800.0	75134200.0	47683300.0	55075200.0	81921800.0	83885800.0	53632300.0	48221200.0	89128200.0	100054000.0	99208700.0
O43677	26038400.0	52902000.0	64777000.0	75866900.0	28839400.0	68757300.0	21770800.0	18336300.0	18902000.0	25098600.0	25119600.0	22575000.0	18932000.0	58253800.0	39485300.0	13961800.0	19288300.0	37224200.0	59249600.0	101825000.0
O43678	75266100.0	97040900.0	89589000.0	115312000.0	91275400.0	101499000.0	62575900.0	59489700.0	59075800.0	57113900.0	78793300.0	60544100.0	59522700.0	76949500.0	98920400.0	66238700.0	68612100.0	83440700.0	73906800.0	97203200.0
O43679																			4382080.0	
O43679;Q86U70		958045.0					2141860.0	3522330.0			6510700.0									3271140.0
O43681	19331900.0	42665800.0	37204000.0	38547200.0	48459200.0	87429900.0	68384600.0	57394300.0	26037500.0	73456000.0	57414900.0	58758000.0	22619100.0	122468000.0	27756700.0	37146700.0	70800100.0	44584700.0	44612000.0	45174500.0
O43684	42995900.0	49043200.0	300202000.0	156717000.0	251757000.0	118462000.0	33263500.0	36495900.0	33103200.0	34978700.0	478184000.0	45150900.0	34616200.0	285711000.0	42993500.0	43718600.0	34521900.0	520412000.0	446639000.0	115802000.0
O43704	54129400.0	117052000.0	177756000.0	130129000.0	150499000.0	168926000.0	95625400.0	72102400.0	46939500.0	68504700.0	128650000.0	58780700.0	45903200.0	131605000.0	45547600.0	50124100.0	61871000.0	184540000.0	153084000.0	141625000.0
O43707	1208450000.0	906766000.0	1151850000.0	1182200000.0	954115000.0	1493630000.0	1080350000.0	1008520000.0	1008110000.0	915131000.0	1046960000.0	971002000.0	1020920000.0	1032120000.0	1094450000.0	872065000.0	905501000.0	1147370000.0	1096490000.0	797073000.0
O43708	446897000.0	743789000.0	414547000.0	320209000.0	282797000.0	258660000.0	349110000.0	309633000.0	334873000.0	454194000.0	694520000.0	421522000.0	528011000.0	350705000.0	294025000.0	346988000.0	277161000.0	243891000.0	472782000.0	322354000.0
O43709	6108610.0	3974570.0	2319240.0	4494310.0	3847630.0	3185770.0	1845710.0	3929790.0	3758020.0	1794090.0	254408.0	2903010.0	3975020.0	7011380.0	3747050.0	928271.0	1157910.0	14749600.0	5954030.0	2067150.0
O43715	400361.0				8748.75		5039650.0		17014.8	40361.0	208661.0	288998.0	492069.0	17409.2	27887.1	17091.7		159422.0		29031.2
O43716	379958000.0	584883000.0	161834000.0	9203110.0	238467000.0	9014460.0	1594520000.0	428634000.0	1379770000.0	1079880000.0	1624520000.0	78246200.0	593409000.0	694055000.0	1076900000.0	1871950000.0	370170000.0	870378000.0	2363070000.0	2253410000.0
O43719	47255200.0	14697900.0	32293800.0	31184400.0	30656100.0	37730700.0	115963000.0	115751000.0	100491000.0	60189400.0	14423900.0	42749700.0	77477600.0	21715900.0	43390400.0	61580900.0	111903000.0	40559200.0	22522800.0	22785100.0
O43731		1304380.0		1351910.0		1468550.0	2401790.0	3297540.0			3361310.0				7872.72				1028920.0	
O43734											55063400.0									
O43741	42993100.0	35375500.0	35870300.0	67395100.0	33852000.0	31125100.0	246380000.0	132708000.0	117022000.0	512666000.0	31550700.0	304627000.0	102301000.0	36182700.0	111190000.0	91643300.0	147958000.0	40155900.0	39291300.0	41921100.0
O43747	45101100.0	38226700.0	46681600.0	42988500.0	45589500.0	57036000.0	41382800.0	41308900.0	31996600.0	33137800.0	41149900.0	48523700.0	28581600.0	57212300.0	37038200.0	29620200.0	43713700.0	45716200.0	45935000.0	52402200.0
O43752	111509000.0	5557300.0	18038900.0	3568700.0	8613820.0	2792150.0	138060000.0	7110720.0	110484000.0	52003900.0	18138300.0	5172840.0	76669400.0	6668520.0	10102400.0	86563100.0	64842300.0	6175800.0	2658860.0	21079700.0
O43759	495573.0	478095.0	841871.0		400118.0	932271.0		1329580.0	348749.0	142785.0	986801.0	1211640.0	4465830.0	472305.0	364057.0		376455.0	590036.0	496570.0	13415.2
O43760	46473800.0	39667400.0	33578100.0	42133300.0	37493600.0	83543300.0	47500500.0	49915100.0	38264300.0	42985200.0	31387700.0	43339100.0	31811600.0	37402400.0	35625300.0	28882100.0	40413700.0	48006200.0	50336000.0	31424500.0
O43761		46239.6	127110.0			363357.0		271558.0				362623.0	28530.5	32106000.0		38121.9	922000.0	2184420.0		44096.8
O43765	23248100.0	299177000.0	102298000.0	167716000.0	273931000.0	326140000.0	609292000.0	326481000.0	320757000.0	295407000.0	294130000.0	99151500.0	382011000.0	277328000.0	517520000.0	31977800.0	55514600.0	390888000.0	320900000.0	262168000.0
O43766	13160600.0	1557690.0	2827490.0	85324.5	4849960.0	5172300.0	579787.0	35393100.0	12135700.0	1586090.0	7585560.0	3332100.0	2233170.0	5151620.0	39810300.0	5223430.0	6510820.0	5342150.0	13054900.0	5272680.0
O43768			15618.7		325614.0	22470.0					859254.0			19928.0	322603.0			398221.0	288175.0	18138.7
O43772	417771000.0	514807000.0	518396000.0	744759000.0	324918000.0	402535000.0	592299000.0	466416000.0	295635000.0	544455000.0	669862000.0	323549000.0	444107000.0	512526000.0	452690000.0	361708000.0	411045000.0	661727000.0	493035000.0	317228000.0
O43776	84686900.0	68641400.0	60579500.0	51370400.0	142205000.0	162045000.0	82495900.0	91992100.0	47429200.0	65036800.0	63531100.0	71259500.0	59878200.0	98234900.0	62345400.0	64721200.0	78446600.0	113075000.0	82678100.0	71437700.0
O43790												128198000.0								
O43795	848390000.0	138851000.0	160910000.0	171478000.0	164742000.0	128373000.0	755817000.0	789345000.0	492520000.0	1298270000.0	153398000.0	1002450000.0	834879000.0	167873000.0	611090000.0	811695000.0	579321000.0	109596000.0	129600000.0	163956000.0
O43805	3489400.0	979991.0	996251.0	946795.0	731942.0	3582500.0	1936240.0	4046570.0		5338630.0	1224110.0	2240.35	1350140.0	2165340.0	1364460.0	2247330.0	1852840.0	6434370.0	2384720.0	552460.0
O43808	45774300.0	3745390.0	18210400.0	10659500.0	10869700.0	10324300.0	75348400.0	19290900.0	29496900.0	35423700.0	5957110.0	18391500.0	46018100.0	5660420.0	6589790.0	6161060.0	28562800.0	29705300.0	11055100.0	9329110.0
O43809	49066300.0	33731100.0	42103600.0	213923000.0	87146800.0	130274000.0	27997400.0	30537100.0	30440300.0	30266600.0	903824000.0	39547900.0	32536400.0	124699000.0	42590600.0	36127600.0	30137600.0	48042200.0	85264100.0	40949800.0
O43813	20487300.0	31387400.0	42907500.0	32471400.0	51638900.0	38561900.0	29180300.0	36393300.0	48266100.0	23735500.0	39604000.0	28410800.0	17916000.0	41992600.0	17743200.0	26072500.0	30744400.0	44490700.0	43502100.0	31955900.0
O43815	39818900.0	25195700.0	139500000.0	16888400.0	25492100.0	57346700.0	22357100.0	14852700.0	12063400.0	23471200.0	90848200.0	30489200.0	21970100.0	15132000.0	38202800.0	27105200.0	24446100.0	47066300.0	20344600.0	14549400.0
O43818	11891200.0	6887740.0	6594090.0	15499700.0	2829770.0	7886850.0	4592960.0	12052800.0	8168310.0	6134220.0	5908980.0	10558900.0	7043630.0	11535200.0	6996370.0	6163650.0	9497140.0	12774400.0	7856960.0	7350450.0
O43819	23744000.0	25526500.0	19458700.0	24806900.0	20301500.0	29166900.0	17716900.0	19627100.0	19154200.0	33993700.0	33752500.0	30873200.0	13575400.0	37488300.0	15848400.0	19411500.0	21313200.0	23806100.0	25809300.0	15446600.0
O43822	357820.0	7493010.0	1029460.0	2222230.0	1469240.0	19856.2	178612.0	6647.74	384378.0	415475.0	5920140.0	794375.0	7815.35	2313360.0	20431.9	856365.0	358580.0	3211010.0	1839510.0	4826360.0
O43823	7544550.0	17262300.0	6640280.0	4455180.0	12685300.0	10227800.0	4891390.0	1821260.0	2520340.0	5970390.0	14604100.0	8024720.0	4690930.0	11604400.0	8121170.0	4478850.0	4313680.0	59472700.0	7560950.0	25025400.0
O43824	1569100.0	1540550.0	548969.0	8852720.0	30885.4	1281120.0	5645100.0	6641020.0	3001760.0	671705.0	2024350.0	4043300.0	2965660.0	2883050.0	4268930.0	2783520.0	1573820.0	1295740.0	1621570.0	13050000.0
O43826	177396000.0	301983000.0	244289000.0	257668000.0	311212000.0	200247000.0	231167000.0	280061000.0	211073000.0	252338000.0	200770000.0	254404000.0	347643000.0	499272000.0	297218000.0	166209000.0	165028000.0	228852000.0	365674000.0	324091000.0
O43829	1295590.0	8251.2	5097680.0					1143480.0	198365.0			1160920.0		130208.0	445804.0	1004780.0	589577.0	15259.5		281352.0
O43837	61070200.0	78481200.0	71064400.0	59060600.0	55341100.0	78154800.0	50779300.0	530068000.0	187879000.0	35065600.0	716952000.0	49553200.0	48955300.0	77732000.0	69790400.0	34438600.0	37448300.0	333781000.0	62475200.0	70730100.0
O43847	58201800.0	34094400.0	23241600.0	45178300.0	23092400.0	37881900.0	146000000.0	213187000.0	87649100.0	87742800.0	87889500.0	42954600.0	57401100.0	25033700.0	55128300.0	48024000.0	54323500.0	47786700.0	26679300.0	48322300.0
O43852	125534000.0	206174000.0	235506000.0	195998000.0	168178000.0	263739000.0	102393000.0	202605000.0	84372900.0	137249000.0	200280000.0	96524900.0	104684000.0	227276000.0	89786900.0	103687000.0	95929400.0	116685000.0	149425000.0	167953000.0
O43854																		36297.8		
O43861	74696700.0	550829.0	356242000.0	1847050.0	242364000.0	215761000.0	75085500.0	54337800.0	38144700.0	6412190.0	4498970.0	18298200.0	33568900.0	4316900.0	16362500.0	32085700.0	9386200.0	130822000.0	9070530.0	3890470.0
O43865	107814000.0	525230000.0	171389000.0	133788000.0	261318000.0	148953000.0	50498800.0	73650900.0	61730400.0	63762000.0	116667000.0	103490000.0	57623700.0	290075000.0	140872000.0	66263600.0	100133000.0	183155000.0	289936000.0	292426000.0
O43866	9259460.0	4384710.0	3426640.0	3045030.0	7458220.0	4301150.0	784244.0	8800250.0	7313690.0	7845620.0	5033610.0	4343550.0	15740800.0	6945400.0	23581700.0	4653020.0	3507210.0	10834900.0	10141900.0	6475680.0
O43895	797533.0		23123.1	14581.4	798141.0	32545000.0			66020600.0	6663510.0	17707500.0	62670900.0		10217200.0		9998110.0	23026100.0	8887860.0		30285100.0
O43896	54272800.0	1353550.0	15076800.0	28589900.0	3590230.0	11516800.0	34674100.0	55217400.0	25851800.0	318330000.0	13472700.0	207159000.0	82645900.0	6513420.0	78459600.0	171870000.0	54254800.0	6205330.0	15386800.0	7538810.0
O43900												735295.0								
O43903	28755700.0	20089300.0	43325300.0	43002700.0	64322200.0	20521400.0	37789200.0	19502200.0	28219500.0	54835400.0	48967300.0	14291200.0	33940800.0	36463800.0	46794400.0	18226100.0	22447400.0	87157700.0	74431000.0	54071900.0
O43909					6406.61															
O43913	381224.0					831265.0								18616.1	660010.0	919496.0	1253150.0	1077670.0		
O43914	1811120.0	17296000.0	18033100.0	13200400.0	12717900.0	20505800.0	3796330.0	5481090.0	1399250.0	731651.0	14323000.0	1490820.0	1546800.0	18164900.0	566414.0	1939030.0	1445850.0	18545500.0	27356200.0	14120000.0
O43920	104759000.0	124510000.0	134046000.0	161558000.0	115164000.0	142121000.0	84005300.0	89959200.0	58590100.0	90041100.0	96429900.0	73397000.0	72180500.0	117685000.0	159272000.0	70700900.0	81526800.0	90530900.0	114475000.0	124835000.0
O43921						183086.0														
O43924	492606.0	1129760.0	525881.0	1407130.0	1054910.0	2954800.0	54030.0	5705730.0	4767250.0	45072.9	5071540.0	25998100.0	4134820.0	1430840.0	870921.0	6208800.0	2884800.0	3278800.0	3292930.0	1850580.0
O43929	4575830.0	27113700.0	31634900.0	1072010.0	616332.0	25920200.0	4804540.0	6843660.0	2771550.0	4118930.0	831258.0	2067230.0	3240870.0	23199300.0	1073700.0	2104920.0	2953320.0	9411250.0	23585500.0	14622500.0
O43933	48770500.0	49470000.0	16823200.0	38543100.0	51537900.0	86405100.0	111410000.0	256354000.0	91370900.0	103993000.0	68537800.0	115460000.0	76087900.0	62514900.0	85903500.0	39722500.0	239445000.0	12954900.0	48130500.0	35376300.0
O43934	598284.0		5661540.0			5451420.0				256804.0	12788400.0							11106300.0	7543050.0	
O60216	21852700.0	103034000.0	34898300.0	28551500.0	124611000.0	72849100.0	20852100.0	23861900.0	18837000.0	23335700.0	24267200.0	21638700.0	21136100.0	20874600.0	24415600.0	47624600.0	28711100.0	71178200.0	19648300.0	84911900.0
O60218	773132000.0	487684000.0	510142000.0	513925000.0	353801000.0	576905000.0	855139000.0	471113000.0	493393000.0	629466000.0	922270000.0	557211000.0	484348000.0	537494000.0	420970000.0	796365000.0	642940000.0	425632000.0	439909000.0	316691000.0
O60220	113091000.0	104160000.0	116566000.0	114691000.0	117981000.0	87084200.0	94757200.0	182484000.0	137577000.0	101089000.0	134662000.0	98980600.0	105514000.0	147517000.0	127399000.0	126992000.0	89889600.0	100169000.0	121455000.0	112021000.0
O60225;Q7RTT3										14498000.0										
O60229	2519210.0	976714.0	4837570.0	4162470.0	4290640.0	6070890.0	8511030.0	8056630.0	19069400.0	1614910.0	2315090.0	2464770.0	24874000.0	17434900.0	4170830.0	19128500.0	14871900.0	1589980.0	2328820.0	2325600.0
O60231	25045300.0	14966600.0	36868400.0	47439100.0	28046400.0	34163400.0	23573200.0	27067800.0	31275800.0	34428000.0	45610400.0	45008400.0	23865800.0	25705100.0	15945300.0	6086600.0	5489350.0	25939100.0	17990300.0	15373400.0
O60232	45209500.0	14180000.0	40086900.0	7677590.0	14733600.0	50682300.0	64782300.0	60183800.0	56788000.0	66078600.0	83250700.0	69953400.0	58525700.0	42808000.0	54451800.0	36765100.0	39554400.0	36802300.0	43102300.0	11411300.0
O60234	51584300.0	19986200.0	58883800.0	19205500.0	66551600.0	24068800.0	54886700.0	25279800.0	71076200.0	25906000.0	32094500.0	50863300.0	27301400.0	80884200.0	39577400.0	17007000.0	19144500.0	29867800.0	34124800.0	29994700.0
O60237	378851.0	4031180.0	2024120.0	8083050.0	3193280.0	6883810.0	2939620.0	3484500.0	4657510.0	3972070.0	1784200.0	942219.0	2383000.0	4830320.0	2647280.0	5538350.0	4513230.0	6348860.0	5221870.0	5105430.0
O60238	3629980.0	1021010.0	21756.3	76067.8	548670.0	2056760.0	329381.0	4628720.0	1047600.0	424870.0	56508.6	1049580.0	424730.0	3149390.0	1253980.0	1942070.0	858066.0	2296000.0	1594800.0	1325320.0
O60239		671713.0									1039.74									
O60240	21180000.0	25876200.0	22288400.0	52904100.0	3686290.0	20944800.0	28594000.0	18190000.0	10090500.0	45546700.0	24344500.0	17179900.0	12968400.0	14892500.0	43548000.0	18153400.0	16051700.0	6571120.0	23243000.0	4155050.0
O60243																			622188.0	
O60244	1880940.0	6841.19	45663500.0	720406.0	45765300.0	30000100.0	2955950.0	5000630.0		274217.0	36600400.0	1371210.0	192339000.0	49865900.0	5118550.0	8112060.0	4988570.0	36466500.0	59433000.0	19809100.0
O60256	57216200.0	77054500.0	87074200.0	60690500.0	50201300.0	61917900.0	85954400.0	68154100.0	41001500.0	80611000.0	61633500.0	66670200.0	57923100.0	77898600.0	41721600.0	81021600.0	62686200.0	71836600.0	59199900.0	56518000.0
O60259																	292440000.0			
O60260			29389200.0		405067.0				18600.9	25352.3	13363.1	718867.0	467477.0			775956.0		6388.55		
O60262	9728510.0	18195400.0	12424100.0	5586400.0	8704400.0	6897490.0	10072200.0	2778810.0	13875300.0	13165000.0	6852680.0	9140450.0	12820200.0	8187460.0	11991200.0	10909500.0	11090100.0	6014440.0	5037110.0	5793820.0
O60264	27235100.0	8642470.0	16238500.0	45349100.0	23463700.0	26934300.0	72859600.0	48171800.0	36996000.0	38514700.0	16902200.0	27489000.0	37925400.0	51076500.0	62797200.0	7094360.0	4219620.0	15419400.0	84009700.0	18448100.0
O60268	20330.6	18273.3	3189840.0	2989170.0		2214850.0	459258.0	1214680.0	24052800.0	401138.0	5216560.0			1182230.0		287071.0	3020880.0	4644260.0	6893840.0	1710030.0
O60271	12228600.0	282952000.0	213276000.0	241475000.0	181725000.0	455783000.0	25569700.0	46006700.0	24253800.0	23429900.0	429958000.0	25729800.0	19267000.0	437036000.0	34166000.0	12063300.0	15423700.0	269849000.0	113227000.0	124334000.0
O60282								15958.5												
O60287	85548700.0	38749500.0	30480700.0	30290600.0	24566600.0	22493000.0	40062700.0	94308100.0	385541000.0	7798290.0	14261000.0	122102000.0	17549200.0	27630000.0	247270000.0	125613000.0	121465000.0	52660100.0	724996000.0	3092290.0
O60291	7574760.0	5052850.0	4770130.0	13826300.0	1677500.0	7646390.0	8432660.0	6490310.0	1171810.0	4499850.0	18812100.0	6759970.0	10581500.0	6303990.0	3350000.0	2077290.0	3731370.0	8650070.0	22581400.0	16731500.0
O60292	1833540.0	518186.0		1821840.0	1551630.0	681311.0		272507.0		10813.6	7590.92			4045340.0	113636.0	9619.43	665662.0	621259.0	428118.0	1914330.0
O60293	1976380.0	576682.0	10244.3		3453.07	593813.0	7846.93	2505000.0	35856700.0									1595900.0	2228860.0	43647400.0
O60294	28519.0			2546180.0		11943100.0		394381.0	386752.0			23213600.0	246888.0	20457200.0	22260.9	390428.0	130410000.0	28379400.0		425826.0
O60296		4290.88				268794.0		3083790.0												
O60299							9519730.0													
O60306	36276500.0	49494100.0	46159400.0	116705000.0	23536900.0	28509600.0	117782000.0	27387000.0	19718100.0	38584900.0	53240800.0	16828900.0	24851100.0	39081800.0	50144400.0	152150000.0	105517000.0	57906500.0	14713400.0	24603600.0
O60307	1638460.0	551217.0	1317140.0	742690.0	1736560.0	48497500.0	397358.0	40536.5		29776.0	1084280.0	1824340.0	361913.0	85413800.0		911116.0	656153.0	35716.0	1545000.0	15117.7
O60308			527603.0								634089.0					6001280.0				
O60313	70465200.0	49379200.0	34509400.0	56392800.0	90951500.0	47145800.0	36669200.0	85398100.0	50376000.0	55862400.0	42627200.0	49960800.0	37805500.0	38444600.0	49729400.0	45815400.0	54235300.0	44592400.0	47448500.0	46808300.0
O60315	551239.0	5215.37	571115.0		20906.4	882220.0		89425800.0			1076190.0			54453.8			183863.0	482986.0	3203510.0	21713.1
O60318	165650000.0	65920200.0	5615500.0	79073800.0	9050900.0	5769770.0	5814400.0	13247100.0	7014430.0	3890680.0	13824600.0	196175000.0	3080070.0	4501240.0	9086020.0	15296800.0	1232920.0	5069600.0	5842060.0	3617700.0
O60331	7644860.0	2701880.0	6430450.0	2534210.0	3220400.0	9697550.0	3569570.0	10032900.0	26240400.0	4129250.0	6673530.0	3779400.0		3994710.0	15618600.0	2318330.0	1091140.0	2577920.0	5024200.0	4928970.0
O60333	180518000.0	10661600.0	17731400.0	112102000.0	8884000.0	30419600.0	95973400.0	45962100.0	68702300.0	5593920.0	13812400.0	85901400.0	118584000.0	25662300.0	6987560.0	110650000.0	176156000.0	134856000.0	11184800.0	8791670.0
O60336				620665.0																
