Protein	14F	14F	17F	23M	25M	28M	36M	37M	39M	43M	44M	45F	45M	47M	48M	49F	50F	52F	59M	66M
A0A0C4DH31		5840110.0	603261.0		13868900.0	4626760.0		14351500.0	183664000.0		42096700.0			2462660.0			36649100.0	9246270.0	3033090.0	1643950.0
A0A0C4DH31;P23083				3629440.0									638706.0			849575.0				
A0A0C4DH34			59910.0		7114040.0	408788.0			10996100.0		12513700.0				3484050.0		1294700.0	2408230.0		
A0A0C4DH35	52188.8	17443.9	5571510.0	4131690.0	3461700.0	3075030.0	23266.4	433466.0	11330900.0	16137.7	3523310.0	732451.0			449620.0		357107.0	4550260.0		1344960.0
A0A0C4DH36					733485.0						20543100.0									
A0A0C4DH38	3936920.0	120114.0	4881200.0	6392460.0	4384160.0	5229680.0	11039600.0	14179200.0	10109300.0	9655480.0	8443830.0	10954000.0	8225.36	6077770.0	13121200.0	2841700.0	1651380.0	7137600.0	11473.0	5902710.0
A0A0C4DH41;P01824;P01825;P06331;P0DP06;P0DP08	7876300.0		11446100.0	14095000.0	24960200.0	16474100.0	13107300.0	7827560.0		3964020.0		6695310.0	4139130.0		11124400.0	5299860.0	7814210.0		6909690.0	9308650.0
A0A0C4DH43						5264580.0		4194410.0		1104430.0				1121290.0	1028220.0		1542340.0	5911140.0		
A0A0C4DH67									1261140.0											
A0A0C4DH72	26901.5	13270.8		777154.0					1490250.0		11154200.0				14657400.0			52129.3	14087.3	1135460.0
A0A0C4DH72;A0A0C4DH73;P01597;P01611;P04432																	14116.2			
A0A0C4DH72;P01599														9463.0						
A0A0C4DH73;P01611					7024970.0	45789.1														
A0A0G2JRQ6					3867540.0						19022500.0						17241.3			
A0A0J9YX35					51098600.0						56226300.0							40693000.0		
A0A0J9YXX1		4866010.0	1636030.0		8305750.0		1724250.0	726869.0	6766080.0		12797500.0	466194.0	761405.0	342268.0	2629330.0			4768810.0		91640.7
A0A0K0K1C4;A0A5B6			2341600.0	2503260.0																2710830.0
A0A0U1RQS6	10605700.0			11701500.0																
A0A0U1RRL7	5798670.0	6967220.0	9161260.0	10158400.0	11113700.0	11999100.0	4359260.0	6790970.0	1708940.0	5381360.0	1597210.0	4048980.0	4654460.0	19584100.0	1083080.0	2826510.0	5294320.0	5391680.0	10205700.0	14804400.0
A0A140TA64												388800.0								
A0A140TA67												966956.0								
A0A1B0GTR4								261007.0												
A0A1B0GVH6															3459380.0					
A0A1B0GVH7																		6948270.0		
A0A1B0GWB2	8790390.0		6379.4	8073.03						11208600.0	4394720.0		2399960.0	4313770.0						
A0A286YEV6												1912100.0								
A0A286YF77												158374.0								
A0A2R8Y4L2																				322314000.0
A0A2R8Y619																		13948200000.0		
A0A494C1R9;A6NKD2;P0CV98;P0CV99;P0CW00;P0CW01;Q01534	3334750.0	5321980.0					5748940.0			3870980.0					4749660.0	2900000.0	3184300.0			4142520.0
A0A590UK10																27976400.0				
A0A5B9;P01850;P0DTU4	6568.91								217224.0							52470.6				
A0A6Q8PH20	56954900.0	289881000.0	212722000.0	241397000.0	152146000.0	165980000.0	75081900.0	52150900.0	37402600.0	72383100.0	167834000.0	177405000.0	36125000.0	113409000.0	121661000.0	52952500.0	54205100.0	126079000.0	115623000.0	151526000.0
A0A804HJT0												17199.4								
A0AAG2SVT6											98159400.0									
A0AAG2SXZ4									10777600.0		11130500.0				2100590.0					
A0AAG2TVC3				5120650.0																
A0AAG2TVE0													2125390.0							
A0AAG2UWQ9	28545800.0	10344900.0	818508000.0	9169190.0	6905760.0	23074800.0	2235770.0	23946900.0	22266700.0	6785150.0	5239780.0	15142100.0	18625700.0	9214380.0	6682970.0	17144600.0	15463000.0	16091800.0	32452100.0	6822500.0
A0AAG2UXZ5	88427300.0		100124000.0	106334000.0	130530000.0	125142000.0		75250100.0		80682000.0	82158900.0	70892300.0	92836800.0	126828000.0	82673200.0	69411600.0	64546200.0	143649000.0	133497000.0	107018000.0
A0ABB0MV19	19774600.0			51240700.0			61442500.0	62086300.0			12778800.0				43133700.0				22361600.0	
A0AV02			2810440.0			5617040.0					7487450.0				2540660.0					
A0AV96	14267200.0	11091800.0	14168400.0	15849800.0	14018300.0	20874400.0	10608500.0	10604100.0	15993800.0	9260550.0	16498000.0	31176400.0	15948400.0	11536400.0	12783000.0	10022800.0	13357800.0	19187500.0	12948900.0	18691800.0
A0AVI4	828653.0	8514460.0	6364.97			10427200.0	78631800.0			813067.0	3950450.0	90210700.0				87355900.0	79947300.0	3367820.0		
A0AVT1	42676300.0	414164000.0	296923000.0	499689000.0	303795000.0	437810000.0	37965900.0	67272500.0	27540100.0	61638300.0	447805000.0	52415900.0	74628600.0	493892000.0	74689500.0	35038200.0	51376300.0	370174000.0	420669000.0	519054000.0
A0FGR8	61361600.0	19585700.0	58545200.0	54738600.0	43982700.0	91793400.0	37313500.0	63143200.0	53566900.0	30855000.0	38744700.0	23277600.0	50360600.0	28177000.0	62158600.0	42915400.0	22980600.0	45019100.0	19463000.0	32883800.0
A0JLT2		7595.42																4092.41		
A0JNW5	41180800.0	6739490.0	50111400.0	37281500.0	17787300.0	38589800.0	242162000.0	31944000.0	113494000.0	20499000.0	19651100.0	187129000.0	21541200.0	19604800.0	19535400.0	109892000.0	150810000.0	31558100.0	25795300.0	26548600.0
A0M8Q6	3192120.0				13489000.0	8705480.0	3828040.0	7778070.0	11553200.0	6910640.0		4190320.0	7961540.0	2197060.0	4747550.0	3429540.0	1063690.0			2542820.0
A0MZ66	125646000.0	370222000.0	125991000.0	151880000.0	199718000.0	186355000.0	498034000.0	216558000.0	145777000.0	261848000.0	262570000.0	55020100.0	202151000.0	174676000.0	110642000.0	236294000.0	236259000.0	147554000.0	223817000.0	98063300.0
